	V_gene	mutability
310	IGHV3-33 n=54	0.02
311	IGHV3-33 n=54	0.0
312	IGHV3-33 n=54	0.0
313	IGHV3-33 n=54	0.0
314	IGHV3-33 n=54	0.0
315	IGHV3-33 n=54	0.01
316	IGHV3-33 n=54	0.0
317	IGHV3-33 n=54	0.01
318	IGHV3-33 n=54	0.0
319	IGHV3-33 n=54	0.0
320	IGHV3-33 n=54	0.01
321	IGHV3-33 n=54	0.01
322	IGHV3-33 n=54	0.0
323	IGHV3-33 n=54	0.01
324	IGHV3-33 n=54	0.01
325	IGHV3-33 n=54	0.0
326	IGHV3-33 n=54	0.03
327	IGHV3-33 n=54	0.01
328	IGHV3-33 n=54	0.01
329	IGHV3-33 n=54	0.01
330	IGHV3-33 n=54	0.0
331	IGHV3-33 n=54	0.01
332	IGHV3-33 n=54	0.0
333	IGHV3-33 n=54	0.0
334	IGHV3-33 n=54	0.0
335	IGHV3-33 n=54	0.0
336	IGHV3-33 n=54	0.0
337	IGHV3-33 n=54	0.0
338	IGHV3-33 n=54	0.0
339	IGHV3-33 n=54	0.01
340	IGHV3-33 n=54	0.04
341	IGHV3-33 n=54	0.0
342	IGHV3-33 n=54	0.01
343	IGHV3-33 n=54	0.01
344	IGHV3-33 n=54	0.01
345	IGHV1-18 n=53	0.0
346	IGHV1-18 n=53	0.06
347	IGHV1-18 n=53	0.0
348	IGHV1-18 n=53	0.02
349	IGHV1-18 n=53	0.0
350	IGHV1-18 n=53	0.0
351	IGHV1-18 n=53	0.07
352	IGHV1-18 n=53	0.0
353	IGHV1-18 n=53	0.07
354	IGHV1-18 n=53	0.07
355	IGHV1-18 n=53	0.01
356	IGHV1-18 n=53	0.01
357	IGHV1-18 n=53	0.0
358	IGHV1-18 n=53	0.0
359	IGHV1-18 n=53	0.0
360	IGHV1-18 n=53	0.0
361	IGHV1-18 n=53	0.0
362	IGHV1-18 n=53	0.0
363	IGHV1-18 n=53	0.0
364	IGHV1-18 n=53	0.01
365	IGHV1-18 n=53	0.07
366	IGHV1-18 n=53	0.01
367	IGHV1-18 n=53	0.01
368	IGHV1-18 n=53	0.0
369	IGHV1-18 n=53	0.0
370	IGHV1-18 n=53	0.0
371	IGHV1-18 n=53	0.0
372	IGHV1-18 n=53	0.02
373	IGHV1-18 n=53	0.01
374	IGHV1-18 n=53	0.0
375	IGHV1-18 n=53	0.01
376	IGHV1-18 n=53	0.03
377	IGHV1-18 n=53	0.07
378	IGHV1-18 n=53	0.07
379	IGHV1-18 n=53	0.0
380	IGHV1-18 n=53	0.0
381	IGHV1-18 n=53	0.0
382	IGHV1-18 n=53	0.0
383	IGHV1-18 n=53	0.0
384	IGHV1-18 n=53	0.0
385	IGHV1-18 n=53	0.05
386	IGHV1-18 n=53	0.02
387	IGHV1-18 n=53	0.0
388	IGHV1-18 n=53	0.0
389	IGHV1-18 n=53	0.01
390	IGHV1-18 n=53	0.0
391	IGHV1-18 n=53	0.01
392	IGHV1-18 n=53	0.0
393	IGHV1-18 n=53	0.05
394	IGHV1-18 n=53	0.07
395	IGHV1-18 n=53	0.01
396	IGHV1-18 n=53	0.04
397	IGHV1-18 n=53	0.01
398	IGHV5-51 n=51	0.01
399	IGHV5-51 n=51	0.05
400	IGHV5-51 n=51	0.0
401	IGHV5-51 n=51	0.01
402	IGHV5-51 n=51	0.0
403	IGHV5-51 n=51	0.01
404	IGHV5-51 n=51	0.06
405	IGHV5-51 n=51	0.01
406	IGHV5-51 n=51	0.0
407	IGHV5-51 n=51	0.01
408	IGHV5-51 n=51	0.02
409	IGHV5-51 n=51	0.01
410	IGHV5-51 n=51	0.01
411	IGHV5-51 n=51	0.01
412	IGHV5-51 n=51	0.05
413	IGHV5-51 n=51	0.01
414	IGHV5-51 n=51	0.0
415	IGHV5-51 n=51	0.01
416	IGHV5-51 n=51	0.0
417	IGHV5-51 n=51	0.0
418	IGHV5-51 n=51	0.05
419	IGHV5-51 n=51	0.0
420	IGHV5-51 n=51	0.0
421	IGHV5-51 n=51	0.01
422	IGHV5-51 n=51	0.0
423	IGHV5-51 n=51	0.01
424	IGHV5-51 n=51	0.0
425	IGHV5-51 n=51	0.0
426	IGHV5-51 n=51	0.0
427	IGHV5-51 n=51	0.0
428	IGHV5-51 n=51	0.0
429	IGHV5-51 n=51	0.01
430	IGHV5-51 n=51	0.0
431	IGHV5-51 n=51	0.0
432	IGHV5-51 n=51	0.01
433	IGHV5-51 n=51	0.01
434	IGHV5-51 n=51	0.0
435	IGHV5-51 n=51	0.03
436	IGHV5-51 n=51	0.03
437	IGHV5-51 n=51	0.01
438	IGHV5-51 n=51	0.01
439	IGHV5-51 n=51	0.01
440	IGHV5-51 n=51	0.01
441	IGHV5-51 n=51	0.0
442	IGHV5-51 n=51	0.01
443	IGHV5-51 n=51	0.05
444	IGHV5-51 n=51	0.01
445	IGHV5-51 n=51	0.01
446	IGHV5-51 n=51	0.05
447	IGHV5-51 n=51	0.0
448	IGHV5-51 n=51	0.01
449	IGHV3-23 n=49	0.04
450	IGHV3-23 n=49	0.0
451	IGHV3-23 n=49	0.0
452	IGHV3-23 n=49	0.0
453	IGHV3-23 n=49	0.0
454	IGHV3-23 n=49	0.02
455	IGHV3-23 n=49	0.0
456	IGHV3-23 n=49	0.0
457	IGHV3-23 n=49	0.01
458	IGHV3-23 n=49	0.01
459	IGHV3-23 n=49	0.03
460	IGHV3-23 n=49	0.01
461	IGHV3-23 n=49	0.0
462	IGHV3-23 n=49	0.0
463	IGHV3-23 n=49	0.03
464	IGHV3-23 n=49	0.0
465	IGHV3-23 n=49	0.01
466	IGHV3-23 n=49	0.11
467	IGHV3-23 n=49	0.08
468	IGHV3-23 n=49	0.08
469	IGHV3-23 n=49	0.0
470	IGHV3-23 n=49	0.16
471	IGHV3-23 n=49	0.02
472	IGHV3-23 n=49	0.01
473	IGHV3-23 n=49	0.08
474	IGHV3-23 n=49	0.01
475	IGHV3-23 n=49	0.07
476	IGHV3-23 n=49	0.0
477	IGHV3-23 n=49	0.01
478	IGHV3-23 n=49	0.01
479	IGHV3-23 n=49	0.02
480	IGHV3-23 n=49	0.0
481	IGHV3-23 n=49	0.02
482	IGHV3-23 n=49	0.0
483	IGHV3-23 n=49	0.0
484	IGHV3-23 n=49	0.03
485	IGHV3-23 n=49	0.03
486	IGHV3-23 n=49	0.02
487	IGHV3-23 n=49	0.04
488	IGHV3-23 n=49	0.01
489	IGHV3-23 n=49	0.08
490	IGHV3-23 n=49	0.08
491	IGHV3-23 n=49	0.02
492	IGHV3-23 n=49	0.0
493	IGHV3-23 n=49	0.01
494	IGHV3-23 n=49	0.0
495	IGHV3-23 n=49	0.01
496	IGHV3-23 n=49	0.01
497	IGHV3-23 n=49	0.0
